Datensatz;Name_Parameter;Spalte_v1_06;Spalte_v1_11;Spalte_v1_12;Spalte_v1_15;Verwendung
cost_summary;hr_days_out_of_market;hr_days_out_of_market;hr_days_out_of_market;hr_days_out_of_market;hr_days_out_of_market;Econ - Days out of market
cost_summary;hr_loss_of_trade;hr_loss_of_trade;hr_loss_of_trade;hr_loss_of_trade;hr_loss_of_trade;Econ - Loss of trade
cost_summary;hr_overall_cost;hr_overall_cost;hr_overall_cost;hr_overall_cost;hr_overall_cost;Econ - Total costs
cost_summary;hu_surveillance;hu_surveillance;hu_surveillance;hu_surveillance;hu_surveillance;Econ - Surveillance costs
cost_summary;hu_culling;hu_culling;hu_culling;hu_culling;hu_culling;Econ - Culling costs
cost_summary;hu_disposal;hu_disposal;hu_disposal;hu_disposal;hu_disposal;Econ - Disposal costs
cost_summary;hu_disinfection;hu_disinfection;hu_disinfection;hu_disinfection;hu_disinfection;Econ - Disinfection costs
cost_summary;hu_vaccination;hu_vaccination;hu_vaccination;hu_vaccination;hu_vaccination;Econ - Vaccination costs
cost_summary;hu_compensation;hu_compensation;hu_compensation;hu_compensation;hu_compensation;Econ - Compensation costs
cost_summary;hu_post_mgmt_total_cost;hu_post_mgmt_total_cost;hu_post_mgmt_total_cost;hu_post_mgmt_total_cost;hu_post_mgmt_total_cost;Econ - Post management costs
cost_summary;hu_control_centre_cost;hu_control_centre_cost;hu_control_centre_cost;hu_control_centre_cost;hu_control_centre_cost;Econ - Control center costs
cost_summary;hu_days_out_of_market;hu_days_out_of_market;hu_days_out_of_market;hu_days_out_of_market;hu_days_out_of_market;Econ - Days out of market
cost_summary;hu_loss_of_trade;hu_loss_of_trade;hu_loss_of_trade;hu_loss_of_trade;hu_loss_of_trade;Econ - Loss of trade
cost_summary;hu_overall_cost;hu_overall_cost;hu_overall_cost;hu_overall_cost;hu_overall_cost;Econ - Total costs
cost_summary;it_surveillance;it_surveillance;it_surveillance;it_surveillance;it_surveillance;Econ - Surveillance costs
cost_summary;it_culling;it_culling;it_culling;it_culling;it_culling;Econ - Culling costs
cost_summary;it_disposal;it_disposal;it_disposal;it_disposal;it_disposal;Econ - Disposal costs
cost_summary;it_disinfection;it_disinfection;it_disinfection;it_disinfection;it_disinfection;Econ - Disinfection costs
cost_summary;it_vaccination;it_vaccination;it_vaccination;it_vaccination;it_vaccination;Econ - Vaccination costs
cost_summary;it_compensation;it_compensation;it_compensation;it_compensation;it_compensation;Econ - Compensation costs
cost_summary;it_post_mgmt_total_cost;it_post_mgmt_total_cost;it_post_mgmt_total_cost;it_post_mgmt_total_cost;it_post_mgmt_total_cost;Econ - Post management costs
cost_summary;it_control_centre_cost;it_control_centre_cost;it_control_centre_cost;it_control_centre_cost;it_control_centre_cost;Econ - Control center costs
cost_summary;it_days_out_of_market;it_days_out_of_market;it_days_out_of_market;it_days_out_of_market;it_days_out_of_market;Econ - Days out of market
cost_summary;it_loss_of_trade;it_loss_of_trade;it_loss_of_trade;it_loss_of_trade;it_loss_of_trade;Econ - Loss of trade
cost_summary;it_overall_cost;it_overall_cost;it_overall_cost;it_overall_cost;it_overall_cost;Econ - Total costs
cost_summary;ro_surveillance;ro_surveillance;ro_surveillance;ro_surveillance;ro_surveillance;Econ - Surveillance costs
cost_summary;ro_culling;ro_culling;ro_culling;ro_culling;ro_culling;Econ - Culling costs
cost_summary;ro_disposal;ro_disposal;ro_disposal;ro_disposal;ro_disposal;Econ - Disposal costs
cost_summary;ro_disinfection;ro_disinfection;ro_disinfection;ro_disinfection;ro_disinfection;Econ - Disinfection costs
cost_summary;ro_vaccination;ro_vaccination;ro_vaccination;ro_vaccination;ro_vaccination;Econ - Vaccination costs
cost_summary;ro_compensation;ro_compensation;ro_compensation;ro_compensation;ro_compensation;Econ - Compensation costs
cost_summary;ro_post_mgmt_total_cost;ro_post_mgmt_total_cost;ro_post_mgmt_total_cost;ro_post_mgmt_total_cost;ro_post_mgmt_total_cost;Econ - Post management costs
cost_summary;ro_control_centre_cost;ro_control_centre_cost;ro_control_centre_cost;ro_control_centre_cost;ro_control_centre_cost;Econ - Control center costs
